what,kind,bundleId,bundleVersion,description,time
started,bundle,com.google.gdt.eclipse.core,1.3.2.v201003242055,"com.google.gdt.eclipse.core",1270427404766
started,bundle,com.google.gdt.eclipse.platform.shared,1.3.2.v201003242055,"com.google.gdt.eclipse.platform.shared",1270427404766
started,bundle,com.google.gdt.eclipse.suite,1.3.2.v201003242055,"com.google.gdt.eclipse.suite",1270427404766
started,bundle,com.google.gwt.eclipse.core,1.3.2.v201003242055,"com.google.gwt.eclipse.core",1270427404766
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1270427404767
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1270427404768
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1270427404769
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1270427404769
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1270427404770
started,bundle,org.eclipse.equinox.app,1.2.1.R35x_v20091203,"org.eclipse.equinox.app",1270427404770
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.101.R35x_v20091214,"org.eclipse.equinox.frameworkadmin.equinox",1270427404771
started,bundle,org.eclipse.equinox.p2.director,1.0.101.R35x_v20100112,"org.eclipse.equinox.p2.director",1270427404778
started,bundle,org.eclipse.equinox.p2.engine,1.0.102.R35x_v20091117,"org.eclipse.equinox.p2.engine",1270427404778
started,bundle,org.eclipse.equinox.p2.metadata,1.0.101.R35x_v20100112,"org.eclipse.equinox.p2.metadata",1270427404779
started,bundle,org.eclipse.equinox.p2.publisher,1.0.1.R35x_20100105,"org.eclipse.equinox.p2.publisher",1270427404780
started,bundle,org.eclipse.equinox.p2.repository,1.0.1.R35x_v20100105,"org.eclipse.equinox.p2.repository",1270427404785
started,bundle,org.eclipse.equinox.preferences,3.2.301.R35x_v20091117,"org.eclipse.equinox.preferences",1270427404786
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.101.R35x_v20100209,"org.eclipse.equinox.simpleconfigurator.manipulator",1270427404786
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1270427404788
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1270427404788
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1270427404791
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1270427404792
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1270427404792
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1270427404792
started,bundle,org.eclipse.mylyn.commons.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.commons.ui",1270427404793
started,bundle,org.eclipse.mylyn.context.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.core",1270427404793
started,bundle,org.eclipse.mylyn.context.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.ui",1270427404794
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.monitor.ui",1270427404794
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui",1270427404795
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1270427404796
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1270427404796
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1270427404797
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1270427404798
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1270427404799
started,bundle,org.eclipse.ui.intro,3.3.2.v20100111_35x,"org.eclipse.ui.intro",1270427404800
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1270427404800
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1270427404801
os,sysinfo,,,"win32",1270427404804
arch,sysinfo,,,"x86",1270427404804
ws,sysinfo,,,"win32",1270427404804
locale,sysinfo,,,"en_US",1270427404804
processors,sysinfo,,,"2",1270427404804
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1270427404804
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1270427404804
java.specification.name,sysinfo,,,"Java Platform API Specification",1270427404804
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270427404804
java.specification.version,sysinfo,,,"1.6",1270427404804
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1270427404804
java.version,sysinfo,,,"1.6.0_18",1270427404804
java.vm.info,sysinfo,,,"mixed mode, sharing",1270427404804
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1270427404804
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1270427404804
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270427404804
java.vm.specification.version,sysinfo,,,"1.0",1270427404804
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1270427404804
java.vm.version,sysinfo,,,"16.0-b13",1270427404804
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1270427482120
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1270427482145
closed,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1270427482169
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270427487744
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1270427503669
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270427510178
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1270427510187
started,bundle,com.android.ide.eclipse.ddms,0.9.6.v201002051504-24846,"com.android.ide.eclipse.ddms",1270427510428
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270427510674
started,bundle,com.android.ide.eclipse.adt,0.9.6.v201002051504-24846,"com.android.ide.eclipse.adt",1270427510695
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1270427510719
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1270427510722
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270427513848
error,log,,,"Invalid preference page path: CSS Files",1270427527009
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270427527129
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270427543636
